date,variant,profile_views,profile_uniques,followers,top_referrer,top_referrer_count,sktime_views,sktime_uniques,gaussian_process_views,gaussian_process_uniques,LMT_views,LMT_uniques,variational_inference_views,variational_inference_uniques,uv_python_template_views,uv_python_template_uniques,sequential_monte_carlo_hmm_views,sequential_monte_carlo_hmm_uniques,dirichlet_process_mixtures_views,dirichlet_process_mixtures_uniques,numpyro_fork_views,numpyro_fork_uniques,evaluate_fork_views,evaluate_fork_uniques,sktime_clones,sktime_clone_uniques,LMT_clones,LMT_clone_uniques
2026-02-16,A,0,0,4,github.com,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-17,A,0,0,4,none,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
